endTime,artistName,trackName,msPlayed
2022-01-01 03:08,Alok,Don't Cry For Me (with Jason Derulo),1087
2022-01-02 07:07,Mohit Chauhan,Matargashti,328052
2022-01-02 07:10,A.R. Rahman,Tum Tak,141884
2022-01-02 07:14,Manan Bhardwaj,Shiddat Title Track,230875
2022-01-02 07:16,Master Saleem,Akhiyan Udeek Diyan,111679
2022-01-02 07:16,Ankit Tiwari,Hum Dum,660
2022-01-02 07:16,Sachet Tandon,Barbaadiyan,1474
2022-01-02 07:39,Manan Bhardwaj,Chitta,421377
2022-01-02 07:44,Sachet Tandon,Jug Jug Jeeve,199174
2022-01-02 07:45,Manan Bhardwaj,Shiddat (Reprise),80914
2022-01-02 08:18,Jason Derulo,Love Not War (The Tampa Beat),30110
2022-01-02 08:21,Dan + Shay,"10,000 Hours (with Justin Bieber)",167458
2022-01-02 08:25,Sophia Atwood,Harleys In Hawaii,100009
2022-01-02 08:25,Landon Austin,"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",1373
2022-01-02 09:03,Dan + Shay,"10,000 Hours (with Justin Bieber)",21484
2022-01-02 10:47,Sachet Tandon,Jug Jug Jeeve,5377
2022-01-02 10:47,Manan Bhardwaj,Shiddat (Reprise),133099
2022-01-02 10:51,Selena Gomez & The Scene,Who Says,195613
2022-01-02 10:54,The Weeknd,Pray For Me (with Kendrick Lamar),211440
2022-01-02 10:58,Alessia Cara,Scars To Your Beautiful,230226
2022-01-02 11:01,SLANDER,Love Is Gone - Acoustic,54106
2022-01-02 11:49,Manan Bhardwaj,Shiddat Title Track,230875
2022-01-02 11:53,Master Saleem,Akhiyan Udeek Diyan,273066
2022-01-02 11:57,Sachet Tandon,Barbaadiyan,230185
2022-01-02 12:02,Ankit Tiwari,Hum Dum,305038
2022-01-02 12:06,Manan Bhardwaj,Chitta,102248
2022-01-02 12:25,Alan Walker,Faded,30054
2022-01-02 12:25,Landon Austin,"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)",1162
2022-01-02 12:29,Johnny Orlando,What If (I Told You I Like You),219169
2022-01-02 14:52,Pritam,Subhanallah,902
2022-01-02 14:56,Shooter Kahlon,Game,274503
2022-01-02 15:09,Jass Manak,Prada,182162
2022-01-02 15:09,Gippy Grewal,Car Nachdi,1308
2022-01-02 15:13,Jass Manak,Prada,181916
