"endTime","artistName","trackName","msPlayed"
"2023-12-19 03:12","The Beatles","Blackbird - Remastered 2009",773
"2023-12-19 03:12","The Beatles","Hey Jude",1570
"2023-12-19 03:15","The Beatles","Something - Remastered 2009",182278
"2023-12-19 03:18","The Beatles","Nowhere Man - Remastered 2009",160495
"2023-12-19 03:21","The Beatles","Octopus's Garden - Remastered 2009",170714
"2023-12-19 03:24","The Beatles","Back In The U.S.S.R. - Remastered 2009",163453
"2023-12-19 03:26","The Beatles","In My Life - Remastered 2009",146333
"2023-12-19 03:30","The Beatles","Don't Let Me Down - Remastered 2009",215714
"2023-12-19 03:32","The Beatles","Yesterday - Remastered 2009",125666
"2023-12-19 03:35","The Beatles","I Want You (She's So Heavy) - Remastered 2009",110740
"2023-12-19 04:11","Nirvana","The Man Who Sold The World - Live",50218
"2023-12-19 04:12","Nirvana","Heart-Shaped Box - 2023 Remaster",94577
"2023-12-19 08:30","Pearl Jam","Alive",54400
"2023-12-19 08:44","Pearl Jam","Once",133418
"2023-12-19 08:44","Pearl Jam","Once",2743
"2023-12-19 08:49","Pearl Jam","Even Flow",292580
"2023-12-19 08:54","Pearl Jam","Alive",340907
"2023-12-19 08:55","Pearl Jam","Why Go",41664
"2023-12-19 13:12","Gary Moore","That's Why I Play the Blues",244346
"2023-12-19 13:16","Gary Moore","The Loner",247865
"2023-12-19 13:20","Gary Moore","Still Got The Blues",245446
"2023-12-19 13:22","Skip James","Devil Got My Woman",70698
"2023-12-19 13:52","B.B. King","The Thrill Is Gone",273109
"2023-12-19 14:27","The Cure","Boys Don't Cry",0
"2023-12-19 14:27","Van Halen","Runnin' with the Devil - 2015 Remaster",0
"2023-12-19 14:27","Green Day","Wake Me up When September Ends",0
"2023-12-19 14:27","Eric Clapton","Cocaine",0
"2023-12-19 14:31","AC/DC","Highway to Hell",248920
"2023-12-19 15:31","AC/DC","Girls Got Rhythm",145194
"2023-12-20 01:27","John Mayer","Slow Dancing in a Burning Room",6029
"2023-12-20 01:30","John Mayer","Waiting On the World to Change",201173
"2023-12-20 01:34","John Mayer","Slow Dancing in a Burning Room",242000
"2023-12-20 01:39","John Mayer","I Don't Trust Myself (With Loving You)",292013
"2023-12-20 01:43","John Mayer","Belief",242324
"2023-12-20 01:47","John Mayer","Gravity",245826
"2023-12-20 01:51","John Mayer","The Heart of Life",198200
"2023-12-20 01:55","John Mayer","Vultures",250823
"2023-12-20 02:00","John Mayer","Stop This Train",285053
"2023-12-20 02:04","John Mayer","Bold as Love",258160
"2023-12-20 02:08","John Mayer","Slow Dancing in a Burning Room",242000
"2023-12-20 02:12","John Mayer","Dreaming with a Broken Heart",245746
"2023-12-20 02:33","John Mayer","In Repair",66829
"2023-12-20 02:56","Rage Against The Machine","Bulls On Parade",45183
"2023-12-20 02:57","Aerosmith","Dream On",12137
"2023-12-20 02:57","Fleetwood Mac","Dreams - 2004 Remaster",61187
"2023-12-20 03:00","Guns N' Roses","Nightrain",2173
"2023-12-20 03:00","Aerosmith","Mama Kin",170960
"2023-12-20 03:00","Guns N' Roses","Sweet Child O' Mine",2026
"2023-12-20 03:05","Guns N' Roses","Nightrain",268213
"2023-12-20 03:06","Guns N' Roses","Out Ta Get Me",113478
"2023-12-20 07:52","Queen","Don't Stop Me Now",132607
"2023-12-20 08:42","Eagles","One of These Nights - 2013 Remaster",4138
"2023-12-20 09:25","Eagles","Life in the Fast Lane - 2013 Remaster",2175
"2023-12-20 10:01","The Local Train","Dil Mere",101151
"2023-12-20 11:32","The Beatles","Within You Without You - Remastered 2009",82815
"2023-12-20 17:36","Pink Floyd","Hey You",278440
"2023-12-20 17:37","Pink Floyd","Is There Anybody Out There?",19656
"2023-12-21 03:36","Guns N' Roses","Don't Cry (Original)",260414
"2023-12-21 03:39","Green Day","Holiday",142808
"2023-12-21 03:42","AC/DC","You Shook Me All Night Long",210173
"2023-12-21 03:44","AC/DC","Back In Black",97976
"2023-12-21 04:01","Led Zeppelin","Stairway to Heaven - Remaster",53996
"2023-12-21 04:03","The Beatles","Norwegian Wood (This Bird Has Flown) - Remastered 2009",128332
"2023-12-21 04:03","The Beatles","Here Comes The Sun - Remastered 2009",1618
"2023-12-21 05:59","Guns N' Roses","Knockin' On Heaven's Door",336000
"2023-12-21 06:02","Kings of Leon","Sex on Fire",203346
"2023-12-21 06:58","Led Zeppelin","Stairway to Heaven - Remaster",467738
"2023-12-21 09:43","Pink Floyd","The Great Gig in the Sky",136876
"2023-12-21 09:50","Pink Floyd","Money",382834
"2023-12-21 09:57","Pink Floyd","Time",393164
"2023-12-21 09:57","Pink Floyd","Brain Damage",10263
"2023-12-21 09:58","Pink Floyd","Pigs on the Wing 1",84280
"2023-12-21 10:16","Pink Floyd","Dogs",1025280
"2023-12-21 10:27","Pink Floyd","Pigs (Three Different Ones)",685872
"2023-12-21 10:38","Pink Floyd","Sheep",619079
"2023-12-21 10:39","Pink Floyd","Pigs on the Wing 2",86696
"2023-12-22 01:14","Pink Floyd","In the Flesh?",198221
"2023-12-22 01:16","Pink Floyd","The Thin Ice",146321
"2023-12-22 01:20","Pink Floyd","Another Brick in the Wall, Pt. 1",192145
"2023-12-22 01:21","Pink Floyd","The Happiest Days of Our Lives",110826
"2023-12-22 01:25","Pink Floyd","Another Brick in the Wall, Pt. 2",238746
"2023-12-22 01:31","Pink Floyd","Mother",334893
"2023-12-22 01:34","Pink Floyd","Goodbye Blue Sky",167239
"2023-12-22 01:36","Pink Floyd","Empty Spaces",127830
"2023-12-22 01:39","Pink Floyd","Young Lust",209956
"2023-12-22 01:43","Pink Floyd","One of My Turns",216800
"2023-12-22 01:47","Pink Floyd","Don't Leave Me Now",255934
"2023-12-22 01:48","Pink Floyd","Another Brick in the Wall, Pt. 3",74411
"2023-12-22 01:50","Pink Floyd","Goodbye Cruel World",73429
"2023-12-22 01:54","Pink Floyd","Hey You",278440
"2023-12-22 01:57","Pink Floyd","Is There Anybody Out There?",161595
"2023-12-22 02:00","Pink Floyd","Nobody Home",203360
"2023-12-22 02:02","Pink Floyd","Vera",93356
"2023-12-22 02:03","Pink Floyd","Bring the Boys Back Home",87207
"2023-12-22 02:10","Pink Floyd","Comfortably Numb",382296
"2023-12-22 02:11","Pink Floyd","The Show Must Go On",96560
"2023-12-22 02:16","Pink Floyd","In the Flesh",255546
"2023-12-22 02:20","Pink Floyd","Run Like Hell",263573
"2023-12-22 02:24","Pink Floyd","Waiting for the Worms",237077
"2023-12-22 02:25","Pink Floyd","Stop",30605
"2023-12-22 02:30","Pink Floyd","The Trial",318846
"2023-12-22 02:32","Pink Floyd","Outside the Wall",104113
"2023-12-22 02:52","The Beatles","Yesterday - Remastered 2009",2708
"2023-12-22 02:52","Dire Straits","Sultans Of Swing",1709
"2023-12-22 02:57","Guns N' Roses","Don't Cry (Original)",267401
"2023-12-22 02:59","Guns N' Roses","Patience",133488
"2023-12-22 03:03","Guns N' Roses","Voodoo Child (Slight Return) / Civil War - Live In New York, Ritz Theatre - May 16, 1991",20221
"2023-12-22 03:03","Guns N' Roses","Hotel California / Only Women Bleed / Knockin' On Heaven's Door - Live In Las Vegas, Thomas & Mack Center - January 25, 1992",237407
"2023-12-22 03:04","Guns N' Roses","Sympathy For The Devil",24320
"2023-12-22 03:07","Guns N' Roses","Yesterdays",118548
"2023-12-22 03:09","Guns N' Roses","Welcome To The Jungle",120358
